scene,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd
01_France,+ SWIR window ±50 nm,45,Cm,0.5233904461388036,0.04778640902509912,19.905226184762107,1.0167157381215357
01_France,+ SWIR window ±50 nm,45,Cw,0.8300757276774565,0.017900237535632656,11.884710236544288,0.6331930770554918
01_France,+ SWIR window ±50 nm,45,LAI,0.36572501155511955,0.05458291124982005,22.969245966401704,0.9814848286979941
01_France,+ SWIR window ±50 nm,45,N,0.011893739221017174,0.101486299507043,28.66041080833719,1.4676580633284642
01_France,5-band multispectral (no SWIR),5,Ant,0.5044181935233463,0.051296340094675846,20.296331648634297,1.0768454161429324
01_France,5-band multispectral (no SWIR),5,Cab,0.907506850014642,0.01069771827029986,8.766587006147626,0.5052445987644775
01_France,5-band multispectral (no SWIR),5,Car,-0.8696042563957553,0.0673124400914949,39.46786264006587,0.7074456827645036
01_France,5-band multispectral (no SWIR),5,Cm,0.2626077911403478,0.06355235923172609,24.767861217699405,1.064027341433987
01_France,5-band multispectral (no SWIR),5,Cw,-1.0017140005281941,0.12583435708001023,40.82508229574735,1.2893120044321233
01_France,5-band multispectral (no SWIR),5,LAI,0.07644582185417786,0.07219033318378375,27.720737305077886,1.0716229780887159
01_France,5-band multispectral (no SWIR),5,N,-0.012043423301409483,0.09804591042035607,29.007098226579103,1.4575412310377647
01_France,Full hyperspectral (valid bands),366,Ant,0.07396389662055579,0.08770859996223297,27.750961818445916,1.3224724008883957
01_France,Full hyperspectral (valid bands),366,Cab,0.8684329732135871,0.006075963114863979,10.468744133084524,0.24066426437780383
01_France,Full hyperspectral (valid bands),366,Car,-0.3453193165645231,0.11081792598264696,33.45897929087808,1.3798046667746529
01_France,Full hyperspectral (valid bands),366,Cm,0.6712624227447239,0.02206512497029692,16.542640256256117,0.5545590586338847
01_France,Full hyperspectral (valid bands),366,Cw,0.8727212360049512,0.010098074792437765,10.29162060494566,0.40926497713681753
01_France,Full hyperspectral (valid bands),366,LAI,0.4833908190187984,0.05098360297121332,20.723388389833413,1.0385902833416651
01_France,Full hyperspectral (valid bands),366,N,0.22291360742601318,0.061607582969138916,25.428723429601252,1.0027104400581763
02_Argentina,+ SWIR window ±100 nm,85,Ant,0.022163310735831,0.0814925079352586,28.522337233609626,1.191644361835564
02_Argentina,+ SWIR window ±100 nm,85,Cab,0.8410042922638222,0.02081204535115919,11.488327144371976,0.7531836750884374
02_Argentina,+ SWIR window ±100 nm,85,Car,-0.939833261624204,0.15162158467811468,40.179874559587375,1.6128687253069205
02_Argentina,+ SWIR window ±100 nm,85,Cm,0.6832240363261481,0.022396793919440803,16.238400907441243,0.574566272679355
02_Argentina,+ SWIR window ±100 nm,85,Cw,0.9086907962291718,0.008125892904752928,8.715891015884619,0.38540205451714654
02_Argentina,+ SWIR window ±100 nm,85,LAI,0.4320715541476957,0.03696257107036284,21.74525859509213,0.7040667164996418
02_Argentina,+ SWIR window ±100 nm,85,N,0.2896702523301067,0.03885338889684189,24.320814834446114,0.6595273390994733
02_Argentina,+ SWIR window ±150 nm,125,Ant,-0.10750628806649902,0.09717607546670816,30.352102025937217,1.3343861565575785
02_Argentina,+ SWIR window ±150 nm,125,Cab,0.814585028643292,0.017871038048499363,12.41729960061143,0.5941285996961054
02_Argentina,+ SWIR window ±150 nm,125,Car,-0.9203303355587705,0.17640180622556068,39.967541169272536,1.8585132292480655
02_Argentina,+ SWIR window ±150 nm,125,Cm,0.7761615113373324,0.018867943547252998,13.646888671236265,0.5751039321415427
02_Argentina,+ SWIR window ±150 nm,125,Cw,0.9126715351026439,0.006950050691909911,8.525264866980804,0.33899635805682676
02_Argentina,+ SWIR window ±150 nm,125,LAI,0.530231463006173,0.03499345834132505,19.77396377705781,0.7369679154007724
02_Argentina,+ SWIR window ±150 nm,125,N,0.311096294351655,0.04487736580788912,23.947717069367954,0.77877090789277
02_Argentina,+ SWIR window ±200 nm,165,Ant,-0.21442606042376727,0.13097936040935923,31.76859400784489,1.7336150673853343
02_Argentina,+ SWIR window ±200 nm,165,Cab,0.781260402599673,0.02591204415708166,13.480513785119944,0.7850660545969245
02_Argentina,+ SWIR window ±200 nm,165,Car,-0.9614584718274175,0.15113335741556147,40.4052176480752,1.5645133598896184
02_Argentina,+ SWIR window ±200 nm,165,Cm,0.809386031077754,0.01617694147589665,12.593773477621987,0.5240886289069574
02_Argentina,+ SWIR window ±200 nm,165,Cw,0.9152382270159277,0.00603321447217003,8.40037906605859,0.29388462216752287
02_Argentina,+ SWIR window ±200 nm,165,LAI,0.5788791026093172,0.03284405500550818,18.721131012625357,0.7239318336791859
02_Argentina,+ SWIR window ±200 nm,165,N,0.31027172280518794,0.054703879790305464,23.9571178135782,0.9336134363428991
02_Argentina,+ SWIR window ±50 nm,45,Ant,0.171121332687298,0.05564401809588353,26.26748527294341,0.8826878394027531
02_Argentina,+ SWIR window ±50 nm,45,Cab,0.8643906646990704,0.015672381965486645,10.614115586269143,0.6185040238677361
02_Argentina,+ SWIR window ±50 nm,45,Car,-0.9120659748585792,0.12020042506018441,39.90119504783572,1.2921424761275175
02_Argentina,+ SWIR window ±50 nm,45,Cm,0.4982313333809051,0.040586679438878406,20.434072985119975,0.8117133962096721
02_Argentina,+ SWIR window ±50 nm,45,Cw,0.8325862887917872,0.018123082760313762,11.797007604089291,0.633243922136733
02_Argentina,+ SWIR window ±50 nm,45,LAI,0.3490688634179794,0.07719031353055524,23.25516025745345,1.3554289461799807
02_Argentina,+ SWIR window ±50 nm,45,N,0.028557132462487488,0.08045598740432632,28.429219498654014,1.1760056614832446
02_Argentina,5-band multispectral (no SWIR),5,Ant,0.5003898805932423,0.04399274938603302,20.385447909200575,0.9108325787336288
02_Argentina,5-band multispectral (no SWIR),5,Cab,0.9021113160272568,0.005537550813642849,9.028518128040753,0.2548167558477408
02_Argentina,5-band multispectral (no SWIR),5,Car,-0.8587247843979983,0.16865020861665828,39.322330696043394,1.7923375212634118
02_Argentina,5-band multispectral (no SWIR),5,Cm,0.2743087798705003,0.09490421155319588,24.544709398254163,1.6006678919349653
