cost,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd,n_seeds
noise_normalized,+ SWIR window ±100 nm,85,Ant,0.1584432257144987,0.07185842329957659,26.45858979093609,1.142061490939639,30
noise_normalized,+ SWIR window ±100 nm,85,Cab,0.8403668554701017,0.01893582617059536,11.513708199031385,0.6849178960448445,30
noise_normalized,+ SWIR window ±100 nm,85,Car,-0.9583704770851059,0.10573538124073023,40.38357999342223,1.0916704602030824,30
noise_normalized,+ SWIR window ±100 nm,85,Cm,0.5649625683431242,0.042607926596060004,19.017778012522434,0.9369720586189704,30
noise_normalized,+ SWIR window ±100 nm,85,Cw,0.8642017487270476,0.01236823893886986,10.627388856709157,0.4861871813662975,30
noise_normalized,+ SWIR window ±100 nm,85,LAI,0.34983667215762254,0.04971271930322377,23.26021550704057,0.8758567330676218,30
noise_normalized,+ SWIR window ±100 nm,85,N,0.139528022820314,0.06733011722141892,26.758136173828653,1.0323337017544902,30
noise_normalized,+ SWIR window ±150 nm,125,Ant,-0.030042579264627587,0.0756733242809881,29.278722769599117,1.0898243800622105,30
noise_normalized,+ SWIR window ±150 nm,125,Cab,0.8048244185685401,0.018238985211453413,12.73958373126918,0.5910188679679796,30
noise_normalized,+ SWIR window ±150 nm,125,Car,-0.9657156377474595,0.10945508185812308,40.458311360442636,1.1288574852974869,30
noise_normalized,+ SWIR window ±150 nm,125,Cm,0.736451308191082,0.024270253469474343,14.804602982247749,0.6774730348928908,30
noise_normalized,+ SWIR window ±150 nm,125,Cw,0.905718852357075,0.010164343914877269,8.851579458151141,0.477335121588284,30
noise_normalized,+ SWIR window ±150 nm,125,LAI,0.4942567094435246,0.04448789097873191,20.50970813450438,0.9011618262908729,30
noise_normalized,+ SWIR window ±150 nm,125,N,0.32439348071781066,0.06418780555530897,23.700516931267373,1.13961523932402,30
noise_normalized,+ SWIR window ±200 nm,165,Ant,-0.15616569047209033,0.08092183707672179,31.02151318380264,1.0949747243544334,30
noise_normalized,+ SWIR window ±200 nm,165,Cab,0.7588748272116211,0.026658013240572057,14.15376436400126,0.7832515658302621,30
noise_normalized,+ SWIR window ±200 nm,165,Car,-1.0015681540334012,0.1344868743616287,40.81851249068816,1.378942636690114,30
noise_normalized,+ SWIR window ±200 nm,165,Cm,0.7865386031265689,0.022152934792858292,13.319725512519058,0.69527685126797,30
noise_normalized,+ SWIR window ±200 nm,165,Cw,0.9064004876792324,0.009841102316282732,8.820253532147877,0.46106691905193126,30
noise_normalized,+ SWIR window ±200 nm,165,LAI,0.5463918033999675,0.04367146976291809,19.42050593664044,0.9283779456288004,30
noise_normalized,+ SWIR window ±200 nm,165,N,0.3357580751838089,0.053056773977541126,23.508517631114884,0.9398826683572592,30
noise_normalized,+ SWIR window ±50 nm,45,Ant,0.24648269283451057,0.06687090954787248,25.03443127529061,1.126325249569963,30
noise_normalized,+ SWIR window ±50 nm,45,Cab,0.8528071907323513,0.015425885804324057,11.06067099869632,0.5698169748416638,30
noise_normalized,+ SWIR window ±50 nm,45,Car,-0.9547443425136997,0.1389379382509775,40.3356768321989,1.4349468577796998,30
noise_normalized,+ SWIR window ±50 nm,45,Cm,0.45813204402438584,0.0437461846712274,21.23270515336435,0.8633812753203423,30
noise_normalized,+ SWIR window ±50 nm,45,Cw,0.8045807001154616,0.015948406821705514,12.751601867709493,0.509986124679078,30
noise_normalized,+ SWIR window ±50 nm,45,LAI,0.2567513652177527,0.057343510292961884,24.868991833589345,0.9524362784828417,30
noise_normalized,+ SWIR window ±50 nm,45,N,0.010270712998956393,0.09233256861940292,28.688605870027114,1.325464466170423,30
noise_normalized,5-band multispectral (no SWIR),5,Ant,0.4798977153202579,0.04793494126665356,20.796754923376614,0.9788209789415294,30
noise_normalized,5-band multispectral (no SWIR),5,Cab,0.8934668818632108,0.008749304417582471,9.414137875261162,0.38759148827613726,30
noise_normalized,5-band multispectral (no SWIR),5,Car,-0.8875362138583013,0.09393507068012233,39.648585057520265,0.9942078840519312,30
noise_normalized,5-band multispectral (no SWIR),5,Cm,0.26831412517987047,0.0634685815916893,24.67001811901185,1.0745407913116833,30
noise_normalized,5-band multispectral (no SWIR),5,Cw,-0.9864458785327942,0.12168892895896749,40.66822342969365,1.2592009346734558,30
noise_normalized,5-band multispectral (no SWIR),5,LAI,0.08784201042523261,0.08061396820602244,27.543043917830367,1.2380540670669036,30
noise_normalized,5-band multispectral (no SWIR),5,N,-0.0510549533148025,0.08100331849759862,29.573293011653902,1.1461399202131535,30
noise_normalized,Full hyperspectral (valid bands),366,Ant,0.019897141926813806,0.08673303582690252,28.551467322477386,1.2809178044495233,30
noise_normalized,Full hyperspectral (valid bands),366,Cab,0.8493649800619554,0.013634314099516784,11.192521414287354,0.5076226246171017,30
noise_normalized,Full hyperspectral (valid bands),366,Car,-0.42245964950686443,0.09548869891241207,34.41081730464496,1.1503121539962524,30
