seed_idx,lut_seed,truth_seed,noise_seed,cost,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct,scene,sun_zenith
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,N,0.45488975700340195,-0.10420037391750259,30.325983800226798,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,Cab,6.803434067426564,0.9132197098622591,8.504292584283204,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,Car,7.971905382403424,-0.9054787803561419,39.859526912017124,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,Ant,1.9298436642682382,0.5532195402313811,19.298436642682383,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,Cw,0.019535828399306468,-0.987991284304053,40.69964249855514,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,Cm,0.004341589126451484,0.30151073499845005,24.11993959139713,01_France,47.42478942871094
0,415864,179186,836121,sse,5-band multispectral (no SWIR),5,LAI,1.4825917404082134,0.12750410061474704,26.956213461967515,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,N,0.4482545829532249,-0.072222833353067,29.883638863548327,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,Cab,8.350888251129307,0.8692534971606052,10.438610313911635,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,Car,7.907555198729717,-0.8748404297104542,39.53777599364858,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,Ant,2.445483344711983,0.2825703314151452,24.454833447119828,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,Cw,0.006003625801116244,0.8122508224961531,12.507553752325506,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,Cm,0.003786242300165543,0.4687742719255831,21.034679445364127,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±50 nm,45,LAI,1.2953353895909412,0.33398393674617244,23.551552538017116,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,N,0.4033501745644868,0.13183939856981985,26.890011637632455,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,Cab,9.077274607727112,0.8455187819485981,11.34659325965889,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,Car,7.930699107615031,-0.8858310921302788,39.653495538075155,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,Ant,2.772137476073387,0.07810928288506402,27.72137476073387,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,Cw,0.004463499064040426,0.8962228574408143,9.298956383417554,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,Cm,0.00286963121466538,0.694849230353783,15.942395637029888,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±100 nm,85,LAI,1.1531415044537077,0.4721804775638855,20.966209171885595,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,N,0.37088954008704117,0.2659515172563506,24.725969339136075,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,Cab,9.120028022490066,0.8440601606097132,11.400035028112583,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,Car,8.236781635506992,-1.0342060940736788,41.18390817753496,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,Ant,3.052875908913788,-0.11806799890342745,30.52875908913788,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,Cw,0.004036114404745141,0.9151449393377891,8.408571676552377,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,Cm,0.002424189498483905,0.7822313167131578,13.467719436021692,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±150 nm,125,LAI,1.0888023671725533,0.5294363729424617,19.796406675864606,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,N,0.3585377855320692,0.3140295021070979,23.902519035471283,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,Cab,9.984242502014421,0.8131061637071111,12.480303127518026,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,Car,8.411400085624773,-1.1213700199566623,42.057000428123864,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,Ant,3.1108236619974963,-0.16091574452929902,31.108236619974964,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,Cw,0.004062568899336474,0.9140289380452238,8.463685206950988,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,Cm,0.0021631020571490603,0.826613086857852,12.01723365082811,01_France,47.42478942871094
0,415864,179186,836121,sse,+ SWIR window ±200 nm,165,LAI,1.0276333660598098,0.5808237813651284,18.68424301926927,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,N,0.38808463756955763,0.19631016153453618,25.87230917130384,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,Cab,8.43350424458419,0.866653729761494,10.541880305730238,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,Car,6.961598125374586,-0.4531074983849537,34.80799062687293,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,Ant,2.7832474754670233,0.07070508346709681,27.832474754670233,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,Cw,0.004732947921005734,0.8833152059867977,9.860308168761946,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,Cm,0.0028296828535278045,0.7032861488060427,15.72046029737669,01_France,47.42478942871094
0,415864,179186,836121,sse,Full hyperspectral (valid bands),366,LAI,1.036037087947301,0.5739399177141127,18.837037962678203,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,N,0.4306461603874953,0.011157550222765877,28.70974402583302,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,Cab,7.208944143475568,0.9025740626945625,9.01118017934446,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,Car,7.999518161083498,-0.9203525916720623,39.99759080541749,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,Ant,1.9449706601575696,0.5462624305231432,19.449706601575695,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,Cw,0.018517204694764575,-0.7855928542953219,38.577509780759534,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,Cm,0.0046106284798360965,0.2125308619351508,25.614602665756088,01_France,47.42478942871094
1,79701,817672,33083,sse,5-band multispectral (no SWIR),5,LAI,1.6288320339648596,-0.05223741968184048,29.615127890270173,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,N,0.393923227095642,0.1726121841037045,26.261548473042797,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,Cab,8.201429113417035,0.8739013773876902,10.251786391771294,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,Car,8.476051539827097,-1.1559589927465597,42.380257699135484,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,Ant,2.494650152795039,0.25355479943054016,24.94650152795039,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,Cw,0.005179710600664918,0.860285147779681,10.791063751385245,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,Cm,0.0034108226516520535,0.5690453589368367,18.949014731400293,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±50 nm,45,LAI,1.3372930539343306,0.29072554958264485,24.314419162442377,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,N,0.37289485937832134,0.25858949420231847,24.859657291888087,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,Cab,8.618108448440218,0.8607628320166703,10.772635560550272,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,Car,7.772951104149556,-0.8131143285013551,38.86475552074778,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,Ant,2.534694167562246,0.2293986552087639,25.346941675622457,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,Cw,0.004584104625418082,0.8905689347535848,9.550217969621004,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,Cm,0.002647644063639783,0.7403235976909261,14.709133686887682,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±100 nm,85,LAI,1.2013117262489044,0.427635656285818,21.842031386343717,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,N,0.36154170042200157,0.30304821361443735,24.102780028133438,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,Cab,10.26270845275922,0.8025508563203355,12.828385565949025,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,Car,8.109046858671917,-0.9732991940493416,40.545234293359584,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,Ant,2.7860181092926446,0.06900681553931287,27.860181092926446,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,Cw,0.004117599446939149,0.911708320473527,8.578332181123228,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,Cm,0.0025361586243962883,0.7617317850476979,14.089770135534934,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±150 nm,125,LAI,1.166655817210689,0.46018289721208083,21.211923949285254,01_France,47.42478942871094
1,79701,817672,33083,sse,+ SWIR window ±200 nm,165,N,0.36832039582533566,0.27666833014765657,24.55469305502238,01_France,47.42478942871094
