seed_idx,lut_seed,truth_seed,noise_seed,cost,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,N,0.4397774596311901,-0.031256568445196864,29.318497308746004
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,Cab,7.228542985223175,0.9020364114392952,9.03567873152897
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,Car,7.5795575170206995,-0.7233538325076541,37.8977875851035
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,Ant,1.9660784789300394,0.5361447653249447,19.660784789300394
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,Cw,0.020891977853867205,-1.272212098335486,43.52495386222334
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,Cm,0.003968590004505256,0.41668509534921894,22.047722247251418
0,851852,178934,26417,sse,5-band multispectral (no SWIR),5,LAI,1.3476816282980262,0.27958097702565743,24.503302332691383
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,N,0.45606590396696733,-0.1090624600941219,30.40439359779782
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,Cab,8.47988921406283,0.8651833576739036,10.599861517578537
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,Car,8.180945828304829,-1.0076767158883295,40.90472914152414
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,Ant,2.5922105382048004,0.19365423930558834,25.922105382048006
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,Cw,0.005914952984765269,0.8178654453140426,12.322818718260976
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,Cm,0.0034876374214952537,0.5495015896308268,19.375763452751407
0,851852,178934,26417,sse,+ SWIR window ±50 nm,45,LAI,1.3189868375328184,0.30993265064756503,23.98157886423306
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,N,0.3697170825472069,0.2711471942994996,24.64780550314713
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,Cab,9.154322226330224,0.8428857631505022,11.44290278291278
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,Car,7.934424751645628,-0.8885028298749171,39.67212375822814
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,Ant,3.059883232664433,-0.12354499891547088,30.598832326644335
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,Cw,0.004267098347543058,0.9052116290695713,8.889788224048036
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,Cm,0.002780165267111724,0.7137326407335258,15.44536259506513
0,851852,178934,26417,sse,+ SWIR window ±100 nm,85,LAI,1.1778839805753378,0.44967963235592334,21.416072374097052
0,851852,178934,26417,sse,+ SWIR window ±150 nm,125,N,0.3617928779591656,0.30205560817158994,24.119525197277706
0,851852,178934,26417,sse,+ SWIR window ±150 nm,125,Cab,9.391605556454007,0.8346352883367327,11.73950694556751
0,851852,178934,26417,sse,+ SWIR window ±150 nm,125,Car,8.112302466838209,-0.9741266816995846,40.56151233419104
0,851852,178934,26417,sse,+ SWIR window ±150 nm,125,Ant,3.253538967395822,-0.27026048562388816,32.53538967395822
0,851852,178934,26417,sse,+ SWIR window ±150 nm,125,Cw,0.004201797163735383,0.9080906020124898,8.753744091115381
