seed_idx,lut_seed,truth_seed,noise_seed,cost,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,N,0.4449454658843169,-0.055937368915393915,29.66303105895446
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,Cab,7.324905036100816,0.8993737557555579,9.15613129512602
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,Car,7.779481312980899,-0.8155972454881633,38.89740656490449
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,Ant,1.9232861930031384,0.5561862381961533,19.232861930031383
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,Cw,0.0190002974769061,-0.8803194871590845,39.58395307688771
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,Cm,0.004474091342262573,0.25855562961655865,24.856063012569845
0,565417,386752,356943,sse,5-band multispectral (no SWIR),5,LAI,1.5168393049155007,0.08753884190581418,27.5788964530091
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,N,0.3199877307045484,0.45387602652103376,21.332515380303224
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,Cab,7.874216131701789,0.8837154735899986,9.842770164627236
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,Car,8.243326938370702,-1.0385589787307006,41.216634691853514
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,Ant,2.4225168783455713,0.29588019480620575,24.22516878345571
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,Cw,0.003956085986624966,0.9184841069107657,8.24184580546868
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,Cm,0.0024405621388854317,0.7793781008823087,13.558678549363508
0,565417,386752,356943,sse,+ SWIR window ±100 nm,85,LAI,1.0896601768775245,0.5291122446716707,19.812003215954988
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,N,0.3254655552557356,0.4350179443962844,21.697703683715705
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,Cab,8.431603938128355,0.866670066586182,10.539504922660443
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,Car,8.489764461353968,-1.162267965408836,42.448822306769834
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,Ant,2.7205012290263935,0.11200444907400076,27.205012290263937
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,Cw,0.003941769364945594,0.9190730326966433,8.212019510303321
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,Cm,0.0019642015935829355,0.8570971147265184,10.91223107546075
0,565417,386752,356943,sse,+ SWIR window ±150 nm,125,LAI,1.0019118263309523,0.6018981051036861,18.21657866056277
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,N,0.34741513066847485,0.3562428785442151,23.161008711231656
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,Cab,6.459523658274165,0.9217456924999617,8.074404572842706
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,Car,6.274769616025143,-0.1811737891529024,31.373848080125715
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,Ant,2.5103523081144874,0.24389468991778118,25.103523081144875
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,Cw,0.004346533225583345,0.9015996023346454,9.055277553298636
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,Cm,0.0027412910741877344,0.7216577180897283,15.229394856598523
0,565417,386752,356943,sse,Full hyperspectral (valid bands),366,LAI,1.0878895905755448,0.5306412902400288,19.77981073773718
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,N,0.42583505178237535,0.032553605473739644,28.38900345215836
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,Cab,6.926693415410421,0.9100011469941474,8.658366769263026
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,Car,7.79635953971167,-0.8233587099548114,38.981797698558346
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,Ant,2.0080506869781445,0.5159572724404187,20.080506869781445
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,Cw,0.019128006063619567,-0.9057124974905695,39.85001263254076
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,Cm,0.004381678367373393,0.28932657443409304,24.342657596518848
1,592556,234884,737330,sse,5-band multispectral (no SWIR),5,LAI,1.5567217647420204,0.03950008710435127,28.304032086218555
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,N,0.31857447255358234,0.45854041937350243,21.238298170238824
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,Cab,7.0313396773874475,0.9072612578809819,8.78917459673431
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,Car,7.996783541094094,-0.918311273925126,39.98391770547047
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,Ant,2.239256784830134,0.39807531380601135,22.39256784830134
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,Cw,0.0037424412592881287,0.9270495516482696,7.7967526235169355
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,Cm,0.002469278556520713,0.77430119737842,13.718214202892847
1,592556,234884,737330,sse,+ SWIR window ±100 nm,85,LAI,1.1579928733687415,0.4685197773338312,21.054415879431662
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,N,0.31347501963818786,0.47573607622661096,20.89833464254586
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,Cab,8.051504841323723,0.878398436155924,10.064381051654653
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,Car,8.071222463193546,-0.9541911107350991,40.356112315967735
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,Ant,2.430186851176755,0.29105312757709534,24.301868511767548
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,Cw,0.003552535531608964,0.9342652764019828,7.401115690852008
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,Cm,0.0019429301868736882,0.8602655541846305,10.794056593742711
1,592556,234884,737330,sse,+ SWIR window ±150 nm,125,LAI,1.005120001510403,0.5995842370501501,18.274909118370964
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,N,0.3472843178637972,0.35655053789575963,23.152287857586483
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,Cab,7.175625421474346,0.9034161389220593,8.969531776842933
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,Car,5.7925304665873725,-0.006526124135659117,28.962652332936862
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,Ant,2.1667394881632753,0.436430146158844,21.667394881632752
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,Cw,0.004006342329283826,0.9163984957613693,8.346546519341304
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,Cm,0.0024943618545685414,0.7696925441081747,13.857565858714118
1,592556,234884,737330,sse,Full hyperspectral (valid bands),366,LAI,0.9667763609586637,0.6295518924209854,17.57775201743025
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,N,0.4363065775197699,-0.014311029354049598,29.08710516798466
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,Cab,7.365831201718673,0.898274727549816,9.207289002148341
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,Car,7.266251116323894,-0.5841350683936097,36.33125558161947
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,Ant,1.999587790757007,0.520289429322652,19.99587790757007
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,Cw,0.020251627776079233,-1.137380812403927,42.19089120016507
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,Cm,0.004502304295709679,0.24932861264782558,25.012801642831548
2,335117,984926,962640,sse,5-band multispectral (no SWIR),5,LAI,1.4946045599712985,0.11275483835013411,27.17462836311452
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,N,0.307103917955642,0.49747422540377606,20.473594530376136
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,Cab,7.489183032278209,0.8948391163605562,9.361478790347762
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,Car,8.003731257031635,-0.9220133434916558,40.01865628515817
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,Ant,2.489823875907706,0.2562352521496032,24.898238759077056
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,Cw,0.0034069765405120088,0.9395076690230802,7.097867792733352
